,index,file_index,ObjectId,Flags,trackedByStationaryModel,mobile,motionModelValidated,ObjectAge,Timestamp,ObjectPredAge,Classification,ClassCertainty,ClassAge,ObjBoxCenter_X,ObjBoxCenter_Y,ObjBoxCenterSigma_X,ObjBoxCenterSigma_Y,ObjBoxSize_X,ObjBoxSize_Y,ObjCourseAngle,ObjCourseAngleSigma,ObjBoxOrientation,ObjBoxOrientationSigma,RelVelocity_X,RelVelocity_Y,RelVelocitySigma_X,RelVelocitySigma_Y,AbsVelocity_X,AbsVelocity_Y,AbsVelocitySigma_X,AbsVelocitySigma_Y,RefPointLocation,RefPointCoords_X,RefPointCoords_Y,RefPointCoordsSigma_X,RefPointCoordsSigma_Y,RefPointPosCorrCoeffs,ObjPriority,ObjExtMeasurement,EgoLatitude,EgoLongitude,EgoAltitude,EgoHeadingRad,EgoPosTimestamp,GPSFixStatus,csv_name,ObjPrediction,Object_X,Object_Y,uniqueId,origin,destination,relative_destination,AbsVelocity,distance,distance_to_exit,relative_x,relative_y,relative_angle
0,8452,2687089,157,320,True,False,1,50,1496306653.957161,0,2,31,1909,2.94302,-11.7964,9.949869999999999,9.949869999999999,1.3526200000000002,0.44516700000000003,0.476498,0.122173,0.476498,0.122173,-0.01,0.0,9.949869999999999,9.949869999999999,0.0,0.0,9.949869999999999,9.949869999999999,9,2.94302,-11.7964,9.949869999999999,9.949869999999999,0.0,57344,0.172,-33.899,151.111,19.488,5.27466,1496306653.9779482,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,2.94302,-11.7964,374,south,east,right,0.0,-5.764196816575659,-37.79334975016256,-3.9964,-7.943020000000001,-2.6650946535897937
3,5189,1394292,159,384,False,True,1,21,1496306333.78464,0,5,72,120,-32.0624,-5.11848,0.136718,0.140455,0.09704689999999999,1.40858,0.0838965,0.0961307,0.0838965,0.0961307,6.06,0.0,1.01505,1.02919,6.05776,-0.000296891,1.01505,1.02919,1,-32.0731,-4.41261,0.136718,0.140455,0.0,65535,1.0,-33.899,151.111,19.685,4.97762,1496306333.8139398,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,-32.0624,-5.11848,378,north,east,left,6.057760007275319,-7.068919768710369,-14.238066633023823,-2.6815200000000003,-8.762399999999996,0.08389649999999982
0,1829,423026,162,320,True,False,1,38,1496306096.649929,0,2,35,1439,13.9386,-12.1043,9.949869999999999,9.949869999999999,4.61595,1.3104799999999999,3.1341,0.122173,3.1341,0.122173,0.0,0.0,9.949869999999999,9.949869999999999,0.0,0.0,9.949869999999999,9.949869999999999,2,11.6356,-11.4318,9.949869999999999,9.949869999999999,0.0,57344,1.0,-33.899,151.111,19.785999999999998,4.75802,1496306096.676069,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,13.9386,-12.1043,388,south,east,right,0.0,-15.863513445715306,-48.0202802648821,-4.3043,-18.9386,-0.007492653589793008
2,883,345909,166,384,False,True,1,119,1496306076.13224,0,5,38,4125,13.5937,-11.7872,0.288662,0.06707389999999999,4.49402,1.0033299999999998,-3.14098,0.038656,-3.14098,0.038656,-2.75,0.0,1.14103,0.10624700000000001,-2.74894,-0.0016861,1.14103,0.10624700000000001,2,11.3464,-11.2869,0.288662,0.06707389999999999,0.0719071,65535,0.4,-33.899,151.111,20.79,4.73492,1496306076.152064,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,13.5937,-11.7872,402,south,north,straight,2.748940517096216,-14.837836567348546,-38.198965045050166,-3.987199999999999,-18.5937,0.0006126535897932328
0,7616,2143396,194,320,True,False,1,110,1496306517.6854,0,2,31,3700,6.47495,-11.5293,9.949869999999999,9.949869999999999,0.38948699999999997,5.9604599999999995e-08,2.16685,0.122173,2.16685,0.122173,0.0,0.0,9.949869999999999,9.949869999999999,0.0,0.0,9.949869999999999,9.949869999999999,9,6.47495,-11.5293,9.949869999999999,9.949869999999999,0.0,57344,1.0,-33.899,151.111,17.377,5.15033,1496306517.712367,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,6.47495,-11.5293,473,south,east,right,0.0,-9.334333623284587,-46.19872471391475,-3.7292999999999985,-11.47495,-0.974742653589793
17,6016,1972693,199,384,False,True,1,193,1496306473.1700552,0,5,97,1579,-35.5826,-5.68686,0.11199400000000001,0.11186099999999999,0.411864,1.12653,-0.00042509199999999996,0.0513698,-0.00042509199999999996,0.0513698,7.83,0.0,0.43578100000000003,0.40223600000000004,7.83017,-0.00322463,0.43578100000000003,0.40223600000000004,1,-35.3765,-5.12368,0.11199400000000001,0.11186099999999999,-0.00141479,65535,0.4,-33.899,151.111,16.71,5.11,1496306473.198952,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,-35.5826,-5.68686,486,north,east,left,7.830170663985468,-10.525334081017448,-20.276943108818912,-2.1131400000000005,-12.282599999999999,-0.00042509200000040437
3,3708,964047,248,384,False,True,1,64,1496306228.91568,0,5,68,985,-39.7953,-4.8844,0.118111,0.12454000000000001,0.363965,0.812287,-0.00353259,0.0713819,-0.00353259,0.0713819,9.74,0.0,0.549004,0.6951689999999999,9.73864,-0.00234615,0.549004,0.6951689999999999,9,-39.7953,-4.8844,0.118111,0.12454000000000001,-0.00621924,65535,1.0,-33.899,151.111,17.410999999999998,4.87317,1496306228.933223,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,-39.7953,-4.8844,611,north,east,left,9.738640282607209,-15.251525467971788,-21.629387734721,-2.9156000000000004,-16.495299999999997,-0.0035325899999989474
167,17023,3892197,250,384,False,True,1,230,1496306966.7638738,0,5,69,6630,-13.2648,-14.3674,0.110601,0.060590899999999996,4.19645,1.6642400000000002,-3.1355299999999997,0.046348900000000005,-3.1355299999999997,0.046348900000000005,-3.21,0.0,0.409589,0.14796099999999998,-3.193,-0.019368,0.409589,0.14796099999999998,3,-11.1717,-13.5225,0.110601,0.060590899999999996,0.09338980000000001,65535,1.0,-33.899,151.111,18.43,5.55157,1496306966.7870908,Good,split_20170601-stationary-3-leith-croydon_01.csv,False,-13.2648,-14.3674,620,south,east,right,3.19305874036542,12.604349551991398,-18.856666269591273,-6.567400000000001,8.2648,0.006062653589793854
26,4106,956354,13,448,True,True,1,99,1496307238.3750691,0,2,50,252,11.7356,-10.9748,9.949869999999999,9.949869999999999,0.657982,0.195293,2.64739,0.122173,2.64739,0.122173,-0.01,-0.01,9.949869999999999,9.949869999999999,0.0,0.0,9.949869999999999,9.949869999999999,9,11.7356,-10.9748,9.949869999999999,9.949869999999999,0.0,57344,1.0,-33.899,151.111,19.302,5.7836099999999995,1496307238.388519,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,11.7356,-10.9748,677,south,north,straight,0.0,-17.233320793843603,-41.026280051739974,-3.1747999999999994,-16.735599999999998,-0.49420265358979343
43,6314,2147579,35,384,False,True,1,142,1496307546.136198,0,4,62,681,8.87928,-11.405999999999999,0.110956,0.0738683,2.32212,0.08726389999999999,-3.14025,0.08462080000000001,-3.14025,0.08462080000000001,-3.61,0.0,0.486497,0.305388,-3.60891,0.00170076,0.486497,0.305388,2,7.718160000000001,-11.364,0.110956,0.0738683,-0.0228739,65535,0.18512,-33.899,151.111,19.915,6.0168800000000005,1496307546.1562932,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,8.87928,-11.405999999999999,738,south,east,right,3.6089104007559643,-10.047157534072726,-41.87328621793939,-3.605999999999998,-13.87928,0.0013426535897931302
